Signal,WindowStart,WindowEnd,totalPower,peakFreq,peakPower,specCentroid,specBandwidth,specFlatness,specEntropy,bp_delta,bp_theta,bp_alpha,bp_beta,bp_30_80,bp_80_200,RMS,MAV,ZCR,WL,kurtosis,spectrumCurvature,spectrumSlope,Cluster,Is_EMG_like
alpha,2049,2560,1.19562825892441e-23,12.25,7.42629746327093e-24,2.8349309717428e-06,0.00646963432925998,0.99999999999986,6.35506927420825e-07,4.4179819753824e-26,3.04266334206253e-25,8.94089338038467e-24,2.57412689700663e-24,8.50024588657272e-26,7.59323506527934e-27,4.32473268818665e-12,3.21844373887566e-12,0.1875,5.2376059836729e-10,3.73944488859937,4.96649847498224e-23,-7.19226250545919e-10,2,0
alpha,2305,2816,2.26476577115318e-23,12.5,9.04430481001774e-24,5.20046938575438e-06,0.0086557679850035,0.999999999999872,1.18312612818583e-06,4.64233361960081e-26,9.27228862772611e-25,1.68604692912793e-23,4.64801638785034e-24,1.5248247486067e-25,1.29107420143118e-26,3.93300508971073e-12,2.89997793278498e-12,0.19140625,4.7814232147506e-10,4.04673966707249,6.18171033640968e-23,-1.39885744988497e-09,2,0
alpha,2561,3072,4.67715799829305e-24,12,5.10972876449152e-24,1.10770365530153e-06,0.00404389260597966,0.999999999999844,2.53956767093442e-07,2.34498629604125e-26,5.22890596365743e-26,3.77955264452502e-24,7.83924062186328e-25,3.43681110206048e-26,3.28478863459779e-27,2.75207232952296e-12,2.08452374682377e-12,0.1875,3.47699487247689e-10,3.63374903159926,2.50727485214864e-23,-2.81194779099697e-10,2,0
alpha,2817,3328,1.1174897283606e-23,11.5,7.77002435102597e-24,2.62605445791354e-06,0.00618472063083605,0.999999999999895,5.83149187044172e-07,2.093395011595e-26,1.93117503700257e-25,9.07781732039429e-24,1.7999737566438e-24,7.65358707955e-26,6.45291149636223e-27,3.48906594975988e-12,2.63000540189472e-12,0.18359375,4.36164412545763e-10,3.6738609099283,4.82146038085331e-23,-6.75743788592941e-10,2,0
alpha,3073,3584,9.80000809953532e-24,11.75,5.16256278246244e-24,2.32829440254867e-06,0.00586260728475631,0.999999999999887,5.1727460523363e-07,2.53239838692211e-26,1.09902807776006e-25,8.06353988599873e-24,1.5211664882628e-24,7.37003447790896e-26,6.30941577307235e-27,2.97458237927023e-12,1.91420827537672e-12,0.17578125,3.13998455929105e-10,5.80474161600746,4.83532282634268e-23,-5.87551816342751e-10,2,0
alpha,3329,3840,3.33381995517638e-24,12,2.52821341695101e-24,7.83658912287595e-07,0.00337348591970972,0.999999999999848,1.85736295991182e-07,1.70619388511229e-26,4.72554378663471e-26,2.7134870214582e-24,5.32187158947087e-25,2.19306751062321e-26,1.85210739020217e-27,2.37585759845124e-12,1.59902378041946e-12,0.1796875,2.64465917143629e-10,5.23935882887662,1.69341653299717e-23,-2.01414052638246e-10,2,0
alpha,3585,4096,7.29403651915603e-24,12,4.86317587528387e-24,1.7259812153002e-06,0.0050370656473782,0.999999999999884,3.92791764874295e-07,2.170897212629e-26,9.80623347915565e-26,5.92650690264213e-24,1.18957027204689e-24,5.35672323427008e-26,4.53970727735069e-27,2.84471466278723e-12,2.10204992884478e-12,0.17578125,3.37439403072275e-10,3.60028390850306,3.41634685556764e-23,-4.38753529107525e-10,2,0
alpha,3841,4352,1.4342290523036e-23,12,7.13296500031147e-24,3.20355002687455e-06,0.00668928547578336,0.999999999999854,7.54807953768705e-07,4.65460847997283e-26,5.44588739735273e-25,1.15458883411479e-23,2.11243050130289e-24,8.58041700080597e-26,7.00215463387233e-27,3.75895248396721e-12,2.59240440298662e-12,0.16796875,4.10371456840526e-10,5.15061800936201,4.20626231899157e-23,-9.02817914304517e-10,2,0
alpha,4097,4608,1.02221251689883e-23,11.5,4.41300232518754e-24,2.40989336446132e-06,0.00595586716697517,0.999999999999858,5.47535786629082e-07,1.82988066848793e-26,1.77198791571703e-25,7.9635837055538e-24,1.97923691227175e-24,7.70626399319349e-26,6.62016887436298e-27,3.520551988023e-12,2.22555457773806e-12,0.1796875,3.56930326890279e-10,6.36552178985536,3.90013288403725e-23,-6.17420627464189e-10,2,0
alpha,4353,4864,3.97430044119087e-24,12,1.51491600001502e-24,9.23530330602202e-07,0.00365759834040285,0.999999999999845,2.2705895379847e-07,8.89685594723965e-27,1.05592768248722e-25,2.96245787584779e-24,8.68243483403224e-25,2.68510287331523e-26,2.25522528181809e-27,1.43206139545397e-12,9.72035905295442e-13,0.1953125,1.57555211053158e-10,7.06401704271896,1.17282686192587e-23,-2.42858344194859e-10,2,0
belta,1,512,0.223249532225422,20.5,0.0296139762154767,21.8845095035375,8.22857715340942,0.0109299389555223,0.714684178738483,2.5008330246839e-05,0.00021751311485275,0.00899017370956434,0.190284718166215,0.0225193410424531,0.00101158915478502,1.04023701998311,0.285245472007302,0.078125,73.3569438910355,39.8050000669512,0.357197415951141,-2.34831663366591,2,0
belta,257,768,1.68092890333568,20.5,0.159350777933988,21.7801161403024,8.17262672944806,0.000929963890381772,0.718748268441747,7.68247847751029e-07,0.000954933229158991,0.0638688940111748,1.47160858477782,0.136372442921318,0.00812327924387807,1.02069652082998,0.237862965112759,0.09375,67.7589060974919,42.922054915142,0.622532411222417,-3.00061294729389,2,0
belta,513,1024,0.77470789921236,23,0.0802040232314534,25.2657374097891,8.99794527557593,0.000357792941263478,0.7387773964686,5.37272385407868e-07,0.000757400727491928,0.0124086161207625,0.552178038203508,0.204176950510932,0.00518635634127247,0.63535862579487,0.183531679650781,0.390625,57.2676770208496,37.0211128743266,1.01998573257509,-3.75074993493697,2,0
belta,769,1280,0.0619991138289644,22.75,0.00803762949581917,24.5281619325399,9.05232864805691,0.00135017635882266,0.717890219401026,7.04256685521701e-08,2.28117968256004e-05,0.00179690422000227,0.0476389838584394,0.012123793413771,0.00041654920453304,0.635358485696286,0.183527247399511,0.11328125,57.2507796524391,37.0202971815852,0.15048015341663,-2.71526784761372,2,0
belta,1025,1536,0.246375043670845,19,0.0235065399853898,21.0312471289812,9.3846008856955,0.0337042629946737,0.745405905895905,0.00102171701835889,0.00171490254554168,0.0117437571159147,0.198721970369144,0.0236799309555317,0.00115881822368005,0.867907274249557,0.275464388402155,0.0390625,38.7930741822649,71.9200615198665,0.0819288979297959,-2.37868177311903,2,0
belta,1281,1792,64.0806313727629,16.75,9.39554812537366,19.9500117695035,7.3214919341804,0.000147726018546051,0.6710552777625,6.69480083147256e-06,0.0320588458968754,1.56273090575989,59.0236878711888,3.23874942490028,0.223397630159081,5.12051160776833,1.4888684661985,0.35546875,380.346168209661,31.2471600387913,72.6480507398575,-3.76230501648208,2,0
belta,1537,2048,0.657091063985413,16.75,0.116995440716732,20.3785691869777,8.44120751556439,0.0191485295716316,0.684121222465377,0.00105457019683317,0.0021165188046251,0.0176253437836233,0.579178988105503,0.0457338321044962,0.00295812284938158,5.04250827903075,1.3809894489743,0.06640625,337.758004338409,33.2889271659488,1.06162476254044,-2.41260039896865,2,0
belta,1793,2304,3.703104407087e-25,21,1.26371924126668e-25,1.7052778148183e-07,0.0022035492868068,0.99999999999986,2.41626179895147e-08,1.23345851835317e-30,1.13599739181789e-28,1.56794082167911e-26,2.9874994130674e-25,5.31342506347922e-26,2.62482912228194e-27,5.0564352577599e-13,3.57562233400564e-13,0.39453125,1.15746174025472e-10,5.84274154957242,1.48661067602118e-24,-1.14662763821769e-11,2,0
belta,2049,2560,5.17429966984917,16.5,0.957394928910352,19.5256229351667,7.02420314933781,9.44749887125474e-05,0.630916092576697,1.49877104980069e-07,0.00324420472017906,0.0739902326613826,4.85925035625853,0.222171718473906,0.0156430078547294,3.28874267715505,0.991587746952187,0.390625,237.333394208578,20.8085655445484,9.6721518801571,-3.6399535019321,2,0
belta,2305,2816,11.8381583057308,16.5,1.97392054344746,19.9590552505664,7.4121112700798,0.000126193077066021,0.652390308288488,6.19438801109656e-07,0.00568739259753946,0.19196220381222,11.0042306802469,0.593468852270295,0.0428085573610633,3.28874267715505,0.991587746952103,0.37109375,237.333394208549,20.8085655445484,18.9983166619829,-3.63090090124507,2,0
belta,2561,3072,7.20177772387101e-26,20,3.43039522813606e-26,3.26648199980024e-08,0.000961522190087186,0.999999999999861,4.97650593311288e-09,1.22371676288643e-30,7.76373479971482e-30,4.58429812152814e-27,5.62554451946448e-26,1.06691255919495e-26,4.93915530670318e-28,3.33882898034078e-13,2.35704356138358e-13,0.3828125,7.40060135381315e-11,5.21758951501571,3.1843379902374e-25,-2.30519310543105e-12,2,0
belta,2817,3328,1.74062988075866e-25,20.5,8.15103551251894e-26,7.902779603824e-08,0.00149556036110402,0.999999999999866,1.15459525327574e-08,6.23098144080877e-31,1.5392703802865e-29,1.09840086482758e-26,1.3618732874951e-25,2.56868877159182e-26,1.18603805163493e-27,4.23552587461425e-13,2.96666929339763e-13,0.40234375,9.52119679150565e-11,5.82176391837257,8.33421910380827e-25,-5.53777991606797e-12,2,0
belta,3073,3584,1.44558474471165e-25,20.5,5.30122478832348e-26,6.50066973606653e-08,0.00135235643155124,0.999999999999865,9.71599406285755e-09,1.69646941452433e-30,9.32941441854602e-30,9.53940198454348e-27,1.13135978325717e-25,2.08757246911942e-26,9.91853926332155e-28,3.64523107377768e-13,2.28582115744314e-13,0.38671875,7.30787582349302e-11,8.78111672549313,7.16166787386179e-25,-4.66847581141523e-12,2,0
